ligand,predicted_energy
file_ligand_137.pdbqt,-11.191719055175781
file_ligand_169.pdbqt,-11.14381217956543
file_ligand_043.pdbqt,-10.39982795715332
file_ligand_162.pdbqt,-10.115225791931152
file_ligand_114.pdbqt,-11.638284683227539
file_ligand_051.pdbqt,-9.75582504272461
file_ligand_152.pdbqt,-9.45145034790039
file_ligand_117.pdbqt,-9.859874725341797
file_ligand_149.pdbqt,-9.558501243591309
file_ligand_168.pdbqt,-9.464683532714844
file_ligand_175.pdbqt,-11.659185409545898
file_ligand_174.pdbqt,-12.711675643920898
file_ligand_010.pdbqt,-9.710410118103027
file_ligand_053.pdbqt,-9.470582962036133
file_ligand_011.pdbqt,-9.710410118103027
file_ligand_157.pdbqt,-9.595133781433105
file_ligand_113.pdbqt,-11.056371688842773
file_ligand_098.pdbqt,-9.468305587768555
file_ligand_086.pdbqt,-9.261065483093262
file_ligand_066.pdbqt,-10.673389434814453
file_ligand_143.pdbqt,-11.195632934570312
file_ligand_089.pdbqt,-9.743488311767578
file_ligand_032.pdbqt,-9.91694450378418
file_ligand_014.pdbqt,-10.334359169006348
file_ligand_148.pdbqt,-11.487257957458496
file_ligand_115.pdbqt,-10.740577697753906
file_ligand_070.pdbqt,-10.839789390563965
file_ligand_146.pdbqt,-9.689412117004395
file_ligand_127.pdbqt,-9.493642807006836
file_ligand_151.pdbqt,-9.739191055297852
file_ligand_173.pdbqt,-11.1158447265625
file_ligand_102.pdbqt,-9.441940307617188
file_ligand_111.pdbqt,-11.050394058227539
file_ligand_165.pdbqt,-9.010890007019043
file_ligand_132.pdbqt,-11.343737602233887
file_ligand_085.pdbqt,-11.888754844665527
file_ligand_147.pdbqt,-9.823060989379883
file_ligand_057.pdbqt,-10.468987464904785
file_ligand_045.pdbqt,-10.261307716369629
file_ligand_110.pdbqt,-9.687701225280762
file_ligand_094.pdbqt,-9.768392562866211
file_ligand_067.pdbqt,-10.608358383178711
file_ligand_023.pdbqt,-9.133866310119629
file_ligand_078.pdbqt,-10.750274658203125
file_ligand_129.pdbqt,-10.061492919921875
file_ligand_022.pdbqt,-9.210482597351074
file_ligand_118.pdbqt,-9.624556541442871
file_ligand_055.pdbqt,-9.401323318481445
file_ligand_124.pdbqt,-11.451733589172363
file_ligand_145.pdbqt,-9.888094902038574
