ligand,predicted_energy,smiles
file_ligand_028.pdbqt,-10.944072723388672,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1cccc(C(F)(F)F)c1F
file_ligand_090.pdbqt,-11.358661651611328,CN(C)c1ccc(C2N=C3N=CC(Cl)C(N4CCN(CC(=O)Nc5cccc(Cl)c5)CC4)=C3N2)cc1
file_ligand_064.pdbqt,-11.548847198486328,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NCC(F)F)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_015.pdbqt,-10.641216278076172,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(C(F)(F)F)cc1
file_ligand_133.pdbqt,-10.301179885864258,O=C(CN1CCN(c2c(Br)cnc3nc(-c4ccccc4)[nH]c23)CC1)Nc1nccs1
file_ligand_076.pdbqt,-10.630355834960938,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(NC(=O)C(C)C)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_079.pdbqt,-10.4656982421875,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O
file_ligand_172.pdbqt,-11.336557388305664,NC(=O)c1ccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)cc1
file_ligand_065.pdbqt,-10.569428443908691,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NC(C)(C)C)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_138.pdbqt,-11.19171905517578,Cc1nn(C)cc1C1N=C2N=CC(Cl)C(N3CCN(Cc4ccc(Cl)cc4)CC3)=C2N1
file_ligand_062.pdbqt,-10.372292518615724,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CNC4CCCC4)cc3)Nn3cccc32)n[nH]1
file_ligand_161.pdbqt,-10.053092956542969,Cc1cc(CN2CCN(c3c(Br)cnc4nc(N5CCN(C)CC5)[nH]c34)CC2)no1
file_ligand_187.pdbqt,-10.678261756896973,O=C(Nc1ccccc1)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_036.pdbqt,-10.0911865234375,CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCOCC3)n2)cc1
file_ligand_120.pdbqt,-11.195549011230469,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5cccnc5)CC4)=C3N2)cc1
file_ligand_046.pdbqt,-10.237998962402344,CCC(=O)Nc1ccc(SC2=Nc3ccccc3C(Nc3cc(C)[nH]n3)N2)cc1
file_ligand_159.pdbqt,-11.572142601013184,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCNCC4)=C3N2)cc1
file_ligand_077.pdbqt,-10.750274658203123,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(O)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_179.pdbqt,-10.48090934753418,NCCCCc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_160.pdbqt,-10.89873504638672,CN(C)c1ccc(C2N=C3N=CC(Br)C(N4CCN(c5ccccc5)CC4)=C3N2)cc1
file_ligand_166.pdbqt,-10.1226224899292,O=C(Nc1cn[nH]c1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1
file_ligand_105.pdbqt,-10.558794021606444,Cc1cc(CN2CCN(c3c(Cl)cnc4nc(-c5cnn(CC(F)F)c5)[nH]c34)CC2)no1
file_ligand_112.pdbqt,-10.060160636901855,Cc1cc(CN2CCN(c3c(Br)cnc4nc(-c5ccc(OCCO)cc5)[nH]c34)CC2)no1
file_ligand_044.pdbqt,-10.308585166931152,CC(=O)Nc1ccc(SC2=Nc3ccccc3C(Nc3cc(C4CC4)[nH]n3)N2)cc1
file_ligand_075.pdbqt,-10.50575828552246,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)C(C)(C)C)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_042.pdbqt,-10.33444595336914,Cc1cc(NC2N=C(Sc3ccc(NC(=O)C4CC4)cc3)Nc3ccccc32)n[nH]1
file_ligand_069.pdbqt,-10.823391914367676,Cc1cc(NC2N=C(Sc3ccc(NC(=O)CN4CCC(C(=O)NCCN5CCOCC5)C4)cc3)Nn3cccc32)n[nH]1
file_ligand_184.pdbqt,-10.806750297546388,NC(O)C1CCC(c2cccc(Nc3nccc(Nc4cccc(C(F)(F)F)c4)n3)c2)C1
file_ligand_008.pdbqt,-10.945562362670898,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1ccc(F)cc1C(F)(F)F
file_ligand_109.pdbqt,-10.042012214660645,CC(=O)N1CCN(c2ccc(-c3nc4ncc(Br)c(N5CCN(Cc6cc(C)on6)CC5)c4[nH]3)cc2)CC1
file_ligand_034.pdbqt,-10.3575439453125,CC(=O)Nc1ccc(SC2=NC(Nc3cc(C)[nH]n3)c3ccccc3N2)cc1
file_ligand_176.pdbqt,-11.33683967590332,NC(=O)c1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1
file_ligand_136.pdbqt,-11.297361373901367,COc1ccc(C2N=C3N=CC(Br)C(N4CCN(Cc5cncnc5)CC4)=C3N2)cc1
file_ligand_029.pdbqt,-10.94721221923828,O=C(Nc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1)c1cc(F)cc(C(F)(F)F)c1
file_ligand_188.pdbqt,-11.14381217956543,O=C(Nc1cccc(Nc2ccnc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1
file_ligand_137.pdbqt,-11.19171905517578,Cc1nn(C)cc1C1N=C2N=CC(Cl)C(N3CCN(Cc4ccc(Cl)cc4)CC3)=C2N1
file_ligand_169.pdbqt,-11.14381217956543,O=C(Nc1cccc(Nc2nccc(Nc3cccc(C(F)(F)F)c3)n2)c1)C1CC1
file_ligand_043.pdbqt,-10.39982795715332,CC(=O)Nc1ccc(SC2=Nc3ccccc3C(Nc3ccn[nH]3)N2)cc1
file_ligand_162.pdbqt,-10.115225791931152,Cc1cc(CN2CCN(c3c(Br)cnc4nc(N5CCNCC5)[nH]c34)CC2)no1
